,level_0,MJD,fiber,plate,RA,logp,z,recon_error,logp_z_corrected,DEC,z-bin
135114,65292,52405,429,954,180.76,-32.11,0.07,1.17,-36.6,60.52,1
120080,50258,51691,640,350,261.13,-26.84,0.08,5.66,-29.09,64.93,1
41266,41266,51820,45,429,27.3,-23.78,0.07,3.02,-27.27,13.07,1
23135,23135,51955,247,472,137.91,-22.17,0.07,9.93,-26.01,-0.71,1
1541,1541,53520,126,1657,244.1,-19.38,0.05,25.57,-25.71,22.52,1
670,670,53084,388,1440,168.91,-19.14,0.05,14.39,-25.46,42.05,1
61461,61461,52258,399,412,47.03,-20.49,0.07,1.38,-23.81,0.46,1
32939,32939,53149,192,1649,228.34,-19.16,0.07,3.69,-22.86,30.95,1
64916,64916,52232,83,762,128.84,-25.72,0.09,0.8,-26.72,42.66,2
90863,21041,51882,11,435,118.65,-24.36,0.1,1.08,-24.78,39.18,2
19561,19561,54141,264,2513,177.59,-25.18,0.11,1.55,-24.03,22.11,2
10117,10117,54561,586,1833,229.69,-24.34,0.1,1.6,-23.95,6.23,2
122167,52345,53386,368,1755,174.04,-25.54,0.11,1.06,-23.87,15.85,2
139430,69608,51984,374,498,210.43,-22.52,0.09,1.36,-23.6,66.17,2
34156,34156,53729,142,2236,190.0,-22.62,0.09,3.56,-23.43,27.09,2
18165,18165,52991,533,1270,132.62,-20.4,0.08,0.81,-22.42,31.92,2
134921,65099,53533,287,1709,217.44,-33.14,0.12,1.35,-30.15,9.54,3
24317,24317,51986,81,294,197.09,-27.78,0.12,1.05,-25.31,-1.22,3
5063,5063,52964,91,1587,129.85,-26.19,0.11,1.72,-24.31,27.36,3
106707,36885,53327,603,1928,128.73,-26.46,0.13,1.41,-22.1,25.22,3
64720,64720,52000,259,288,184.49,-24.18,0.12,4.44,-21.67,-0.79,3
136444,66622,53469,205,2099,179.08,-25.69,0.13,0.85,-21.63,32.96,3
2006,2006,51930,256,285,179.32,-23.84,0.12,1.53,-20.94,-1.09,3
92516,22694,53116,132,1457,194.25,-23.02,0.12,0.92,-20.38,47.16,3
46562,46562,53054,407,1436,164.53,-34.58,0.14,5.06,-29.06,46.64,4
25000,25000,53386,163,1755,174.14,-29.26,0.14,1.59,-23.62,14.06,4
634,634,52672,4,934,132.65,-27.53,0.14,1.06,-21.45,34.92,4
47942,47942,54589,77,2532,247.03,-26.9,0.14,1.43,-21.06,7.93,4
32614,32614,52615,233,961,157.12,-28.77,0.16,1.86,-20.32,46.16,4
82907,13085,51930,115,285,180.28,-28.88,0.17,0.88,-20.15,-0.12,4
10238,10238,51929,115,470,136.75,-28.14,0.16,0.97,-19.55,0.06,4
74495,4673,52251,395,744,347.89,-25.85,0.15,1.01,-19.13,14.6,4
86421,16599,54510,524,2150,225.62,-34.72,0.18,3.21,-24.11,23.11,5
25535,25535,53358,199,1750,163.66,-38.23,0.21,1.2,-24.03,13.56,5
109223,39401,52581,84,929,120.15,-33.24,0.18,1.25,-23.01,26.23,5
56687,56687,53534,512,2112,201.43,-48.2,0.29,0.98,-22.58,32.92,5
37331,37331,52643,11,905,159.89,-37.17,0.21,1.75,-22.46,53.64,5
106926,37104,53050,283,1377,205.21,-36.21,0.21,1.0,-21.85,39.64,5
123986,54164,52724,234,1195,140.26,-39.56,0.23,1.43,-21.67,7.34,5
8159,8159,54206,557,2137,220.15,-34.27,0.2,1.55,-21.27,27.82,5
